rating,title,text,sentiment
2.0,Poorly remastered,"My problem is with the remastering. Very poor sound on tracks like &#34;Rosalie&#34; and &#34;Right As The Rain&#34;, they sound like they are dubbed from vinyl- very disappointing.",0
4.0,A Great collection by Time Life,"I now have the whole collection put out by Time Life, The Sounds of the Seventy's, What a wonderful Collection it is! Thanks for selling the CD's I missed!",1
5.0,Five Stars *****,This is the best series ever!  Love everyone of the CD's.  Kink only put these out every other year.  Started in the late 80's till mid 2000's.  Don't miss a single one.,1
4.0,One for the best live performances ever!,"One for the best live performances ever! Shcd isn't quite vinyl, but it's still the best going on a disc right now. Just wish all the good old stuff would be released as to bring the prices down [Not just limited editions]-[I've already had them on every damn format as it is LOL]",1
5.0,1965-1967 A's & B's + two exclusive vault tracks,"All of The Byrds 1965 to 1967 Columbia Records A & B sides are here, plus some proposed(but not released) singles. But, if you are a Byrds completist, you'll have to own this. At a point when it seemed that The Byrds' vaults had been totally emptied, Sundazed's Bob Irwin has dug up two gems; versions of &#34;She Don't Care About Time&#34; & &#34;It's All Over Now, Baby Blue&#34; that are significantly different to any versions heard before. They are exclusive to this 2-L.P. set / Too bad that Sony won't let Sundazed release this on CD. However, if you look online at unofficial download sites, uploaders offer a fully de-clicked version of this collection. And, generally, the sources used in this collection are much better than those heard on the Japanese Sony 2-CD &#34;Original Singles A's & B's 1965-1971&#34;",1
1.0,DON'T BOTHER,"The conducting is OK but the singing with the single exception of Schlusnuss is abysmal beyond words.  In other words, most sound like singers before the public today.",0
5.0,Enya's greatest Hits,"If you love Enya, you'll love this.  I didn't pay attention when I ordered it and didn't realize until 3 weeks later when I got it it's imported from St Petersburg Russia.  I I had realized that I may not of ordered it, but after getting it I'm sure glad I did.  What makes it different from Enya's US Paint the Sky with Stars: The Best of Enya and the Very Best of Enya is that you get 44 songs with 21 songs that are not on the other two greatest his.  Don't read Russian that's alright, the song list on the back cover and listed on each CD is in English.  There is an information page that is all in Russian but as long as I can read the song list I'm happy.  It's a great CD and Enya is world wide!",1
1.0,SEOT KAIBA,SETO KAIBA OWNS ALL THREE COPIES OF BLUEYES THE WHITE DRAGON AND WONT LET OTHER PEOPEL HAVE THEM HE DESTROYS THE OTHERS AFTER KIDNAP AND ABUSE OF ELDER WITH 3D MONSTER. WE SHOULD GIVE HIM MORE POWERS,0
1.0,One Star,Didn’t care for all the different renditions,0
5.0,Hardly a concidence that this is wonderfully enjoyable.,"Every performance of these pieces is different, but one expects- and finds- an interpretation here that is dignified, precise, stylistically definitive, uniquely personal, and passionate. I only regret that I was never able to hear Brendel in person, as he deserves the reputation he has acquired for being one of the undeniably great performers of our time.<br /><br />Unfortunately arthritis has increasingly interfered with new performances from this long time giant, especially noted for setting the standard for performances of the Germanic repertoire.",1
5.0,great music,love listening to,1
1.0,Didnt receive any of the extra stuff.,Very unhappy said came with cards and even bonus stuff. Got nothing but the cd.,0
1.0,Huge disappointment,"First of all, my copy was very badly produced.  If it had been vinyl, I'd say it was skipping.  I don't know if others had this problem.  Secondly, the parts of songs I could hear were very rushed and had none of the lush, emotional qualities I'd come to expect after listening to Peter Hollens' Legendary Vocals on Facebook.  The CD was a huge disappointment!",0
2.0,"Musical masterpiece, but a disappointing performance","""Neither"" is a very unique ""opera"" and an important work in the history of modern music.  The result of a near-failed collaboration between two uncompromising artists, Feldman and Beckett, ""Neither"" is a masterpiece.  The music has a compelling ethereal beauty, while surprising the listener through the use of unusual orchestration, rhythms, and musical forms.<br />However, this particular recording of the work is disappointing.  The soprano, Sarah Leonard, sounds strained from the first note to the last, and fails to remain perfectly on pitch throughout the performance.  It makes the work painful to listen to.<br />The version by Petra Hoffmann and the Symphony Orchestra of Bayerischen Rundfunks directed by Kwame Ryan is far superior, and is the most definitive version of this piece thus far, in my opinion.  Petra Hoffmann blends nicely with the rest of the orchestra, and the changes in the atmosphere from one part to the next are more marked by the artful directing of Ryan.  The Kwame Ryan/Petra Hoffmann version is understandably the version chosen by the Ballett am Rhein to accompany Schläpfer's choreography of the piece.",0
5.0,"NT recording my fav, but I’m biased","I saw and loved the NT production during its run on the South Bank and promptly bought the CD at the Dress Circle, a London record store devoted to show music, before returning to Philadelphia. For that reason I’m a tad biased, but it remains my favorite recorded version. A cast member not mentioned in previous reviews is Patricia Hodge. Not a great singer but a wonderful actress who started out on the West End, although she’s probably best known as “Portia” from the old Rumpole of the Bailey TV series. And I found Sian Phillips rendition perfect.",1
1.0,Super What?,Never heard of Nicki Minaj until I heard this song.<br />Getting overplayed.,0
5.0,Excellent Audio.,Excellent audio on this LP.  Set list all keepers.,1
1.0,CD arrived case is cracked.,Great album on vinyl.,0
